PATRON#|Activity_Date|LOCATION|I_TYPE
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|mjzf|1
1415206|10-06-2022|cjzf|1
1415206|10-06-2022|cjf|1
1415206|10-06-2022|cjf|1
1010074|10-06-2022|mf|1
1010074|10-06-2022|mfn|1
1010074|10-06-2022|mfn|1
1010074|10-06-2022|cfn|1
1010074|10-06-2022|c3|30
1426257|10-06-2022|hf|1
1151131|10-06-2022|cve|29
1101532|10-06-2022|mf|1
1414036|10-06-2022|mrr|12
1058976|10-06-2022|mx|1
1058976|10-06-2022|mf|1
1315562|10-06-2022|cx|1
1315562|10-06-2022|cx|1
1315562|10-06-2022|cx|1
1315562|10-06-2022|cx|1
1426259|10-06-2022|mjmy|1
1426259|10-06-2022|mjx|1
1115135|10-06-2022|mfn|1
1188039|10-06-2022|mjve|22
1188039|10-06-2022|mjp|23
1250719|10-06-2022|c3|30
1306011|10-06-2022|mjpn|1
1306011|10-06-2022|mjg|1
1363792|10-06-2022|cfn|1
1406021|10-06-2022|mjzf|1
1406021|10-06-2022|cjzf|1
1406021|10-06-2022|mjzf|1
1406021|10-06-2022|cjpbb|1
1338521|10-06-2022|mmy|1
1338521|10-06-2022|mmy|1
1406021|10-06-2022|cjp|1
1406021|10-06-2022|cjp|1
1384583|10-06-2022|hjp|1
1384583|10-06-2022|mjk|7
1384583|10-06-2022|mjpbb|1
1406021|10-06-2022|cjp|1
1406021|10-06-2022|cjp|1
1414036|10-06-2022|mrr|14
1406021|10-06-2022|hjp|1
1406021|10-06-2022|cjpbb|1
1406021|10-06-2022|cjp|1
1406021|10-06-2022|cjp|1
1406021|10-06-2022|cjp|1
1406021|10-06-2022|cjp|1
1406021|10-06-2022|hjp|1
1406021|10-06-2022|cjp|1
1406021|10-06-2022|cjp|1
1406021|10-06-2022|cjp|1
1406021|10-06-2022|cjp|1
1162895|10-06-2022|hf|1
1371819|10-06-2022|hx|1
1371819|10-06-2022|hf|1
1346814|10-06-2022|hjp|23
1346814|10-06-2022|cjpn|1
1346814|10-06-2022|cjp|1
1346814|10-06-2022|cjx|23
1346814|10-06-2022|hjp|1
1346814|10-06-2022|cjp|1
1346814|10-06-2022|hjp|1
1346814|10-06-2022|cjp|1
1416105|10-06-2022|mrr|17
1399251|10-06-2022|m3|30
1329367|10-06-2022|cpbmy|1
1329367|10-06-2022|cpbmy|1
1329367|10-06-2022|cpbmy|1
1384753|10-06-2022|c3|30
1384753|10-06-2022|mjve|22
1240901|10-06-2022|msf|4
1240901|10-06-2022|mf|1
1322894|10-06-2022|csci|1
1322894|10-06-2022|cx|1
1322894|10-06-2022|cxn|1
1322894|10-06-2022|cf|1
1222460|10-06-2022|mltf|1
1222411|10-06-2022|mmyn|1
1401415|10-06-2022|msci|1
1351312|10-06-2022|mjzf|1
1351312|10-06-2022|mjx|1
1351312|10-06-2022|mjxx|1
1338256|10-06-2022|hmyn|1
1338256|10-06-2022|cjf|1
1338256|10-06-2022|hb|1
1338256|10-06-2022|hjf|1
1338256|10-06-2022|hb|1
1338256|10-06-2022|hb|1
1338256|10-06-2022|hos|1
1080053|10-06-2022|hve|29
1338256|10-06-2022|hjx|1
1338256|10-06-2022|hmy|1
1338256|10-06-2022|hmy|1
1338256|10-06-2022|hf|1
1338256|10-06-2022|hx|1
1338256|10-06-2022|hf|1
1406285|10-06-2022|cx|1
1196405|10-06-2022|mvxn|29
1114968|10-06-2022|cf|1
1114968|10-06-2022|cb|1
1114968|10-06-2022|cf|1
1066928|10-06-2022|mfn|1
1353632|10-06-2022|cxn|1
1405080|10-06-2022|cx|1
1405080|10-06-2022|cyax|1
1405080|10-06-2022|cjx|1
1405080|10-06-2022|cx|1
1405080|10-06-2022|cx|1
1390865|10-06-2022|mmy|1
1390865|10-06-2022|hfn|1
1390865|10-06-2022|mfn|1
1390865|10-06-2022|mf|1
1422198|10-06-2022|cjve|22
1422198|10-06-2022|cjf|1
1422198|10-06-2022|cjf|1
1422198|10-06-2022|cjf|1
1422198|10-06-2022|cjf|1
1422198|10-06-2022|cjf|1
1422198|10-06-2022|cjzx|1
1422198|10-06-2022|mjzx|1
1422198|10-06-2022|cjf|1
1422198|10-06-2022|cjxn|1
1422198|10-06-2022|cjp|1
1422198|10-06-2022|cjx|1
1422198|10-06-2022|cjp|1
1231696|10-06-2022|c3|30
1231696|10-06-2022|c3|30
1231696|10-06-2022|cfn|1
1231696|10-06-2022|cfn|1
1378591|10-06-2022|mmyn|1
1178826|10-06-2022|cpbf|1
1178826|10-06-2022|hfn|1
1178826|10-06-2022|mfn|1
1178826|10-06-2022|mmyn|1
1423405|10-06-2022|mjnd|101
1423405|10-06-2022|mjp|1
1423405|10-06-2022|mjx|1
1423405|10-06-2022|mjf|1
1423405|10-06-2022|mjf|1
1203660|10-06-2022|hjve|22
1203660|10-06-2022|cpbsc|1
1203660|10-06-2022|cjve|22
1423405|10-06-2022|cjzf|23
1203660|10-06-2022|cjve|22
1203660|10-06-2022|cjve|22
1203660|10-06-2022|cjve|22
1423405|10-06-2022|mjx|23
1423405|10-06-2022|mjxn|1
1423405|10-06-2022|mjnd|101
1423405|10-06-2022|mjnd|101
1271011|10-06-2022|cxn|1
1423405|10-06-2022|mjp|1
1423405|10-06-2022|mjp|1
1270316|10-06-2022|cbn|1
1270316|10-06-2022|mfn|1
1109208|10-06-2022|cf|1
1175251|10-06-2022|cjzx|1
1175251|10-06-2022|cjzf|101
1194723|10-06-2022|msf|4
1343437|10-06-2022|hx|1
1343437|10-06-2022|c3|30
1343437|10-06-2022|hxn|1
1175251|10-06-2022|hjf|1
1194723|10-06-2022|msx|4
1194723|10-06-2022|msf|4
1175251|10-06-2022|hjmy|1
1175251|10-06-2022|hjk|7
1175251|10-06-2022|hjk|7
1353195|10-06-2022|hxn|1
1421861|10-06-2022|cmy|1
1175251|10-06-2022|hjx|1
