Date,Databasename,Patron#
10-06-2022,ebhost1,1385996
10-06-2022,ebhost1,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,ebsco9,1385996
10-06-2022,proq,1397932
10-06-2022,proq,1397932
10-06-2022,ebhost1,1047080
10-06-2022,ebhost1,1047080
10-06-2022,ebsco9,1047080
10-06-2022,ebsco9,1047080
10-06-2022,ebsco9,1047080
10-06-2022,ebsco9,1047080
10-06-2022,ebsco9,1047080
10-06-2022,ebhost1,1397932
10-06-2022,ebhost1,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
10-06-2022,ebsco9,1397932
